##*************************************
#Arabic Stop word list for morphology analysis and information retrival
#Version        : 0.9
#Generated at   : 2023/02/02:08:53 
#Author         : Taha Zerrouki
#Web            : http://arabicstopwords.sf.net
#Source         : http://github.com/linuxscout/arabicstopwords
#*************************************
word	vocalized	type	category	original	procletic	stem	encletic	tags
فكأنكم	فَكَأَنّكُمْ	حرف	إن و أخواتها	أن	فك-	أن	-كم	معطوف:عطف:جر:مضاف
فكأنكن	فَكَأَنّكُنَّ	حرف	إن و أخواتها	أن	فك-	أن	-كن	معطوف:عطف:جر:مضاف
فكأنك	فَكَأَنّكِ	حرف	إن و أخواتها	أن	فك-	أن	-ك	معطوف:عطف:جر:مضاف
فكأننا	فَكَأَنّنَا	حرف	إن و أخواتها	أن	فك-	أن	-نا	معطوف:عطف:جر:مضاف
فكأنها	فَكَأَنّهَا	حرف	إن و أخواتها	أن	فك-	أن	-ها	معطوف:عطف:جر:مضاف
فكأنه	فَكَأَنّهُ	حرف	إن و أخواتها	أن	فك-	أن	-ه	معطوف:عطف:جر:مضاف:لايجر:T
فكأنهما	فَكَأَنّهُمَا	حرف	إن و أخواتها	أن	فك-	أن	-هما	معطوف:عطف:جر:مضاف:لايجر
فكأنهم	فَكَأَنّهُمْ	حرف	إن و أخواتها	أن	فك-	أن	-هم	معطوف:عطف:جر:مضاف:لايجر
فكأنهن	فَكَأَنّهُنَّ	حرف	إن و أخواتها	أن	فك-	أن	-هن	معطوف:عطف:جر:مضاف:لايجر
فكأني	فَكَأَنِّي	حرف	إن و أخواتها	أن	فك-	أن	-ي	معطوف:عطف:جر:مضاف
فلأن	فَلِأَنّ	حرف	إن و أخواتها	أن	فل-	أن	-	معطوف:عطف:جر
فلأنك	فَلِأَنّكَ	حرف	إن و أخواتها	أن	فل-	أن	-ك	معطوف:عطف:جر:مضاف
فلأنكما	فَلِأَنّكُمَا	حرف	إن و أخواتها	أن	فل-	أن	-كما	معطوف:عطف:جر:مضاف
فلأنكم	فَلِأَنّكُمْ	حرف	إن و أخواتها	أن	فل-	أن	-كم	معطوف:عطف:جر:مضاف
فلأنكن	فَلِأَنّكُنَّ	حرف	إن و أخواتها	أن	فل-	أن	-كن	معطوف:عطف:جر:مضاف
فلأنك	فَلِأَنّكِ	حرف	إن و أخواتها	أن	فل-	أن	-ك	معطوف:عطف:جر:مضاف
فلأننا	فَلِأَنّنَا	حرف	إن و أخواتها	أن	فل-	أن	-نا	معطوف:عطف:جر:مضاف
فلأنها	فَلِأَنّهَا	حرف	إن و أخواتها	أن	فل-	أن	-ها	معطوف:عطف:جر:مضاف
فلأنه	فَلِأَنّهُ	حرف	إن و أخواتها	أن	فل-	أن	-ه	معطوف:عطف:جر:مضاف:لايجر:T
فلأنهما	فَلِأَنّهُمَا	حرف	إن و أخواتها	أن	فل-	أن	-هما	معطوف:عطف:جر:مضاف:لايجر
